"age" "level"
"1" "30-49" "NotAtAll"
"2" "30-49" "NotAtAll"
"3" "30-49" "NotAtAll"
"4" "30-49" "NotAtAll"
"5" "30-49" "NotAtAll"
"6" "30-49" "NotAtAll"
"7" "30-49" "NotToo"
"8" "30-49" "NotToo"
"9" "30-49" "NotToo"
"10" "30-49" "NotToo"
"11" "30-49" "NotToo"
"12" "30-49" "NotToo"
"13" "30-49" "NotToo"
"14" "30-49" "NotToo"
"15" "30-49" "NotToo"
"16" "30-49" "NotToo"
"17" "30-49" "NotToo"
"18" "30-49" "NotToo"
"19" "30-49" "NotToo"
"20" "30-49" "NotToo"
"21" "30-49" "NotToo"
"22" "30-49" "NotToo"
"23" "30-49" "NotToo"
"24" "30-49" "NotToo"
"25" "30-49" "NotToo"
"26" "30-49" "NotToo"
"27" "30-49" "NotToo"
"28" "30-49" "NotToo"
"29" "30-49" "NotToo"
"30" "30-49" "NotToo"
"31" "30-49" "NotToo"
"32" "30-49" "NotToo"
"33" "30-49" "NotToo"
"34" "30-49" "NotToo"
"35" "30-49" "NotToo"
"36" "30-49" "NotToo"
"37" "30-49" "NotToo"
"38" "30-49" "NotToo"
"39" "30-49" "NotToo"
"40" "30-49" "NotToo"
"41" "30-49" "NotToo"
"42" "30-49" "NotToo"
"43" "30-49" "NotToo"
"44" "30-49" "NotToo"
"45" "30-49" "NotToo"
"46" "30-49" "NotToo"
"47" "30-49" "NotToo"
"48" "30-49" "NotToo"
"49" "30-49" "NotToo"
"50" "30-49" "NotToo"
"51" "30-49" "NotToo"
"52" "30-49" "NotToo"
"53" "30-49" "NotToo"
"54" "30-49" "Somewhat"
"55" "30-49" "Somewhat"
"56" "30-49" "Somewhat"
"57" "30-49" "Somewhat"
"58" "30-49" "Somewhat"
"59" "30-49" "Somewhat"
"60" "30-49" "Somewhat"
"61" "30-49" "Somewhat"
"62" "30-49" "Somewhat"
"63" "30-49" "Somewhat"
"64" "30-49" "Somewhat"
"65" "30-49" "Somewhat"
"66" "30-49" "Somewhat"
"67" "30-49" "Somewhat"
"68" "30-49" "Somewhat"
"69" "30-49" "Somewhat"
"70" "30-49" "Somewhat"
"71" "30-49" "Somewhat"
"72" "30-49" "Somewhat"
"73" "30-49" "Somewhat"
"74" "30-49" "Somewhat"
"75" "30-49" "Somewhat"
"76" "30-49" "Somewhat"
"77" "30-49" "Somewhat"
"78" "30-49" "Somewhat"
"79" "30-49" "Somewhat"
"80" "30-49" "Somewhat"
"81" "30-49" "Somewhat"
"82" "30-49" "Somewhat"
"83" "30-49" "Somewhat"
"84" "30-49" "Somewhat"
"85" "30-49" "Somewhat"
"86" "30-49" "Somewhat"
"87" "30-49" "Somewhat"
"88" "30-49" "Somewhat"
"89" "30-49" "Somewhat"
"90" "30-49" "Somewhat"
"91" "30-49" "Somewhat"
"92" "30-49" "Somewhat"
"93" "30-49" "Somewhat"
"94" "30-49" "Somewhat"
"95" "30-49" "Somewhat"
"96" "30-49" "Somewhat"
"97" "30-49" "Somewhat"
"98" "30-49" "Somewhat"
"99" "30-49" "Somewhat"
"100" "30-49" "Somewhat"
"101" "30-49" "Somewhat"
"102" "30-49" "Somewhat"
"103" "30-49" "Somewhat"
"104" "30-49" "Somewhat"
"105" "30-49" "Somewhat"
"106" "30-49" "Somewhat"
"107" "30-49" "Somewhat"
"108" "30-49" "Somewhat"
"109" "30-49" "Somewhat"
"110" "30-49" "Somewhat"
"111" "30-49" "Somewhat"
"112" "30-49" "Somewhat"
"113" "30-49" "Somewhat"
"114" "30-49" "Somewhat"
"115" "30-49" "Somewhat"
"116" "30-49" "Somewhat"
"117" "30-49" "Somewhat"
"118" "30-49" "Somewhat"
"119" "30-49" "Somewhat"
"120" "30-49" "Somewhat"
"121" "30-49" "Somewhat"
"122" "30-49" "Somewhat"
"123" "30-49" "Somewhat"
"124" "30-49" "Somewhat"
"125" "30-49" "Somewhat"
"126" "30-49" "Somewhat"
"127" "30-49" "Somewhat"
"128" "30-49" "Somewhat"
"129" "30-49" "Somewhat"
"130" "30-49" "Somewhat"
"131" "30-49" "Somewhat"
"132" "30-49" "Somewhat"
"133" "30-49" "Somewhat"
"134" "30-49" "Somewhat"
"135" "30-49" "Somewhat"
"136" "30-49" "Somewhat"
"137" "30-49" "Somewhat"
"138" "30-49" "Somewhat"
"139" "30-49" "Somewhat"
"140" "30-49" "Somewhat"
"141" "30-49" "Somewhat"
"142" "30-49" "Somewhat"
"143" "30-49" "Somewhat"
"144" "30-49" "Somewhat"
"145" "30-49" "Somewhat"
"146" "30-49" "Somewhat"
"147" "30-49" "Somewhat"
"148" "30-49" "Somewhat"
"149" "30-49" "Somewhat"
"150" "30-49" "Somewhat"
"151" "30-49" "Somewhat"
"152" "30-49" "Somewhat"
"153" "30-49" "Somewhat"
"154" "30-49" "Somewhat"
"155" "30-49" "Somewhat"
"156" "30-49" "Somewhat"
"157" "30-49" "Somewhat"
"158" "30-49" "Somewhat"
"159" "30-49" "Somewhat"
"160" "30-49" "Somewhat"
"161" "30-49" "Somewhat"
"162" "30-49" "Somewhat"
"163" "30-49" "Somewhat"
"164" "30-49" "Somewhat"
"165" "30-49" "Somewhat"
"166" "30-49" "Somewhat"
"167" "30-49" "Somewhat"
"168" "30-49" "Somewhat"
"169" "30-49" "Somewhat"
"170" "30-49" "Somewhat"
"171" "30-49" "Somewhat"
"172" "30-49" "Somewhat"
"173" "30-49" "Somewhat"
"174" "30-49" "Somewhat"
"175" "30-49" "Somewhat"
"176" "30-49" "Somewhat"
"177" "30-49" "Somewhat"
"178" "30-49" "Somewhat"
"179" "30-49" "Somewhat"
"180" "30-49" "Somewhat"
"181" "30-49" "Somewhat"
"182" "30-49" "Somewhat"
"183" "30-49" "Somewhat"
"184" "30-49" "Somewhat"
"185" "30-49" "Somewhat"
"186" "30-49" "Somewhat"
"187" "30-49" "Somewhat"
"188" "30-49" "Somewhat"
"189" "30-49" "Somewhat"
"190" "30-49" "Somewhat"
"191" "30-49" "Somewhat"
