"TotalComp" "WideIndustry" "Company" "CEO" "CityofBirth" "StateofBirth" "Age" "Undergrad" "UGDegree" "UGDate" "AgeOfUnder" "Graduate" "GradDegree" "MBA" "MasterPhd" "G_date" "AgeOfGradu" "YearsFirm" "YearsCEO" "Salary" "Bonus" "other" "St_gains" "Compfor5yrs" "Stockowned" "Sales" "Profits" "Returnover5yrs" "Industry" "IndustryCode" "Log10TC1"
"1" 600300 "Aerospacedefense" "Teledyne" "Mr. William P Rutledge" "Pittston" "PA" 52 "Lafayette C" "BS" 63 21 "George Washingt" "MS" 0 1 67 25 8 3 600000 NA 300 NA 2560750 0.00400000018998981 2492 72.8000030517578 -9 "Aerospacedefense" 11 5.77836799621582
"2" 1487600 "Aerospacedefense" "Boeing" "Mr. Frank A Shrontz" "Boise" "ID" 62 "U of Idaho" "LLB" 54 22 "Harvard" "MBA" 1 1 58 26 36 8 796935 624000 66669 NA 7857540 0.00400000018998981 25438 1244 10 "Aerospacedefense" 11 6.17248582839966
"3" 1508180 "Aerospacedefense" "Northrop" "Mr. KentKresa" "New York" "NY" 56 "MIT" "BS" 59 21 "MIT" "MS" 0 1 61 23 19 4 675000 450000 383184 NA 7719720 0.575999975204468 5063 96 13 "Aerospacedefense" 11 6.17845296859741
"4" 4069420 "Aerospacedefense" "Martin Marietta" "Mr. Norman R Augustine" "Denver" "CO" 58 "Princeton" "BSE" 57 21 "Princeton" "MSE" 0 1 59 23 17 6 830000 800000 1645320 794103 12625100 0.108000002801418 9436 450.299987792969 17 "Aerospacedefense" 11 6.60953283309937
"5" 1088150 "Aerospacedefense" "McDonnell Douglas" "Mr. John F McDonnell" "Baltimore" "MD" 56 "Princeton" "BS" 60 22 "Princeton" "MS" 0 1 62 24 32 6 559477 495100 33569 NA 4452230 3.32599997520447 14487 396 7 "Aerospacedefense" 11 6.03668880462646
"6" 1099010 "Aerospacedefense" "GenCorp" "Mr. A WilliamReynolds" "Columbus" "OH" 60 "Harvard" "AB" 55 21 "Stanford U" "MBA" 1 1 57 23 10 9 650833 330000 118175 NA 4803290 0.0979999974370003 1905 43 1 "Aerospacedefense" 11 6.04100179672241
"7" 1652560 "Aerospacedefense" "Lockheed" "Mr. Daniel M Tellep" "Forest City" "PA" 62 "U of Cal Berkel" "BSM" 54 22 "U of Cal Berkel" "MSEE" 0 1 55 23 39 5 762500 650000 240064 NA 6614390 0.0160000007599592 13071 422 11 "Aerospacedefense" 11 6.2181568145752
"8" 7285420 "Aerospacedefense" "General Electric" "Mr. John F Welch Jr" "Peabody" "MA" 58 "U of Massachuse" "BS" 57 21 "U of Illinois" "PhD" 0 1 60 24 34 13 1750000 2200000 441046 2894380 31373600 0.0209999997168779 60562 5177 21 "Aerospacedefense" 11 6.86245489120483
"9" 2271460 "Aerospacedefense" "Textron" "Mr. James F Hardymon" "Maysville" "KY" 59 "U of Kentucky" "BS" 56 21 "U of Kentucky" "MS" 0 1 58 23 4 2 725000 950000 596461 NA 6408090 0.0149999996647239 9078 379.100006103516 19 "Aerospacedefense" 11 6.35630512237549
"10" 14899200 "Aerospacedefense" "General Dynamics" "Mr. James R Mellor" "Detroit" "MI" 64 "U of Michigan" "BS" 52 22 "U of Michigan" "MS" 0 1 53 23 13 1 670000 1350000 12879200 NA NA 0.889999985694885 3187 885 24 "Aerospacedefense" 11 7.17316293716431
