"Ranking" "Title" "Year" "Domestic" "Foreign" "Worldwide" "Budget" "Rating" "Best_Picture" "Genre" "All_Genres" "Director"
"1" 1 "Avatar" 2009 760.5 2017.69995117188 2778.19995117188 230 "PG-13" "nominated" "Act" "Act_Adv_SciF_Thr" "J. Cameron"
"2" 2 "Titanic" 1997 658.599975585938 1526.80004882812 2185.39990234375 200 "PG-13" "won" "Dra" "Dra_Rom" "J. Cameron"
"3" 3 "Marvel's The Avengers" 2012 623.400024414062 888.400024414062 1511.80004882812 220 "PG-13" "." "Act" "Act_Adv_SciF" "J. Whedon"
"4" 4 "The Dark Knight" 2008 533.299987792969 468.600006103516 1001.90002441406 150 "PG-13" "." "Act" "Act_Cri_Dra_Mys_Thr" "C. Nolan"
"5" 5 "Star Wars: The Phantom Menace" 1999 474.5 552.5 1027 110 "PG" "." "SciF" "SciF_Adv_Act" "G. Lucas"
"6" 6 "Star Wars" 1977 460.899993896484 337 797.900024414062 11 "PG" "nominated" "SciF" "SciF_Act_Adv_Fan" "G. Lucas"
"7" 7 "The Dark Knight Rises" 2012 448 632.900024414062 1080.90002441406 250 "PG-13" "." "Act" "Act_Dra_Thr" "C. Nolan"
"8" 8 "Shrek 2" 2004 436.5 475.5 912 75 "PG" "." "Adv" "Adv_Ani_Fam_Com_Fan" "A. Adamson/K. Asbury"
"9" 9 "E.T." 1982 434.899993896484 322.100006103516 757 NA "PG" "nominated" "SciF" "SciF_Adv_Fan" "S. Spielberg"
"10" 10 "Pirates of the Caribbean: Dead Man's Chest" 2006 423.299987792969 642.400024414062 1065.69995117188 225 "PG-13" "." "Act" "Act_Adv_Com_Fan" "G. Verbinski"
"11" 11 "The Lion King" 1994 422.700012207031 528.900024414062 951.599975585938 45 "G" "." "Adv" "Adv_Ani_Mus" "R. Allers/R. Minkoff"
"12" 12 "Toy Story 3" 2010 415 648.200012207031 1063.19995117188 200 "G" "nominated" "Ani" "Ani_Adv_Com_Fam_Fan" "L. Unkrich"
"13" 13 "The Hunger Games" 2012 408 278.5 686.5 78 "PG-13" "." "Act" "Act_Dra_SciF_Thr" "G. Ross"
"14" 14 "Spider-Man" 2002 403.700012207031 403 806.700012207031 139 "PG-13" "." "Act" "Act_Fan_SciF" "S. Raimi"
"15" 15 "Transformers: Revenge of the Fallen" 2009 402.100006103516 432.899993896484 835 200 "PG-13" "." "Act" "Act_Adv_SciF" "M. Bay"
"16" 16 "Harry Potter and the Deathly Hallows Part 2" 2011 381 947.099975585938 1328.09997558594 125 "PG-13" "." "Adv" "Adv_Dra_Fan_Mys" "D. Yates"
"17" 17 "Finding Nemo" 2003 380.399993896484 540.900024414062 921.299987792969 94 "G" "." "Adv" "Adv_Ani_Com_Fam" "A. Stanton/L. Unkrich"
"18" 18 "Star Wars: Episode III" 2005 380.200012207031 469.799987792969 850 115 "PG-13" "." "Act" "Act_Adv_Fan_Rom_SciF" "G. Lucas"
"19" 19 "LOTR: The Return of the King" 2003 377 752.200012207031 1129.19995117188 94 "PG-13" "won" "Fan" "Fan_Adv_Act" "P. Jackson"
"20" 20 "Spider-Man 2" 2004 373.399993896484 410.600006103516 784 200 "PG-13" "." "Act" "Act_Fan_SciF_Thr" "S. Raimi"
"21" 21 "The Passion of the Christ" 2004 370.299987792969 241.5 611.799987792969 25 "R" "." "Dra" "Dra" "M. Gibson"
"22" 22 "Jurassic Park" 1993 357.100006103516 562.900024414062 920 63 "PG-13" "." "Hor" "Hor_SciF_Adv_Thr_Act" "S. Spielberg"
"23" 23 "Transformers: Dark of the Moon" 2011 352.399993896484 770.799987792969 1123.19995117188 195 "PG-13" "." "Act" "Act_Adv_SciF" "M. Bay"
"24" 24 "The Lord of the Rings: The Two Towers" 2002 340.5 580 920.5 94 "PG-13" "nominated" "Fan" "Fan_Adv" "P. Jackson"
"25" 25 "Spider-Man 3" 2007 336.5 554.400024414062 890.900024414062 258 "PG-13" "." "Act" "Act_Adv_SciF_Thr" "S. Raimi"
"26" 26 "Alice in Wonderland" 2010 334.200012207031 690.099975585938 1024.30004882812 250 "PG" "." "Adv" "Adv_Fam_Fan" "T. Burton"
"27" 27 "Forrest Gump" 1994 329.700012207031 350.299987792969 680 55 "PG-13" "won" "Dra" "Dra_Com_Rom" "R. Zemeckis"
"28" 28 "Shrek the Third" 2007 321 473.600006103516 794.599975585938 160 "PG" "." "Ani" "Ani_Adv_Com_Fam_Fan" "C. Miller/R. Hui"
"29" 29 "Transformers" 2007 319.100006103516 388.600006103516 707.700012207031 147 "PG-13" "." "Act" "Act_Adv_SciF" "M. Bay"
"30" 30 "Iron Man" 2008 318.299987792969 263.700012207031 582 186 "PG-13" "." "Ani" "Ani_Adv_Dra_SciF_Thr" "J. Favreau"
"31" 31 "Harry Potter and the Sorcerer's Stone" 2001 317.600006103516 651.099975585938 968.700012207031 130 "PG" "." "Adv" "Adv_Fan" "C. Columbus"
"32" 32 "Indiana Jones and the Kingdom of the Crystal Skull" 2008 317 469.600006103516 786.599975585938 185 "PG-13" "." "Act" "Act_Adv" "S. Spielberg"
"33" 33 "The Lord of the Rings: The Fellowship of the Ring" 2001 313.799987792969 546.900024414062 860.700012207031 109 "PG-13" "nominated" "Fan" "Fan_Adv" "P. Jackson"
"34" 34 "Iron Man 2" 2010 312.100006103516 309.700012207031 621.799987792969 200 "PG-13" "." "Act" "Act_Adv_SciF_Thr" "J. Favreau"
"35" 35 "Star Wars: Episode II . Attack of the Clones" 2002 310.700012207031 337.600006103516 648.299987792969 120 "PG" "." "SciF" "SciF_Adv_Act" "G. Lucas"
"36" 36 "Pirates of the Caribbean: At World's End" 2007 309.399993896484 651.599975585938 961 200 "PG-13" "." "Act" "Act_Adv_Com_Fan" "G. Verbinski"
"37" 37 "Return of the Jedi" 1983 309.100006103516 263.899993896484 573 33 "PG" "." "Fan" "Fan_SciF_Act_Adv" "R. Marquand"
"38" 38 "Independence Day" 1996 306.100006103516 507 813.099975585938 75 "PG-13" "." "Act" "Act_SciF_War" "R. Emmerich"
"39" 39 "Pirates of the Caribbean" 2003 305.399993896484 347.799987792969 653.200012207031 125 "PG-13" "." "Act" "Act_Adv_Fan_Com" "G. Verbinski"
"40" 40 "Harry Potter and the Half-Blood Prince" 2009 301.899993896484 632.099975585938 934 250 "PG" "." "Adv" "Adv_Fan_Mys_Rom" "D. Yates"
"41" 41 "The Twilight Saga: Eclipse" 2010 300.5 398 698.5 65 "PG-13" "." "Dra" "Dra_Fan_Rom" "D. Slade"
"42" 42 "The Twilight Saga: New Moon" 2009 296.600006103516 413.100006103516 709.700012207031 50 "PG-13" "." "Dra" "Dra_Fan_Hor_Rom_Thr" "C. Weitz"
"43" 43 "Harry Potter and the Deathly Hallows Part 1" 2010 295 657.099975585938 952.099975585938 250 "PG-13" "." "Act" "Act_Adv_Fan_Mys" "D. Yates"
"44" 44 "The Sixth Sense" 1999 293.5 368 661.5 40 "PG-13" "nominated" "Dra" "Dra_Thr_Hor_Mys" "M. Night Shyamalan"
"45" 45 "Up" 2009 293 438.299987792969 731.299987792969 175 "PG" "nominated" "Ani" "Ani_Act_Adv_Com_Fam" "P. Docter/ B. Peterson"
"46" 46 "Inception" 2010 292.600006103516 532.099975585938 824.700012207031 200 "PG-13" "nominated" "Act" "Act_Mys_SciF_Thr" "C. Nolan"
"47" 47 "Harry Potter and the Order of the Phoenix" 2007 292 646.5 938.5 150 "PG-13" "." "Adv" "Adv_Dra_Fam_Fan" "D. Yates"
"48" 48 "The Chronicles of Narnia" 2005 291.700012207031 452.399993896484 744.099975585938 180 "PG" "." "Act" "Act_Adv_Dra_Fam_Fan" "A. Adamson"
"49" 49 "The Empire Strikes Back" 1980 290.200012207031 243.699996948242 533.900024414062 18 "PG" "." "Fan" "Fan_SciF_Act_Adv" "I. Kershner"
"50" 50 "Harry Potter and the Goblet of Fire" 2005 290 602.200012207031 892.200012207031 140 "PG-13" "." "Adv" "Adv_Fan_Mys_Thr" "M. Newell"
"51" 51 "Home Alone" 1990 285.799987792969 248 533.799987792969 NA "PG" "." "Com" "Com" "C. Columbus"
"52" 52 "The Matrix: Reloaded" 2003 281.5 454.200012207031 735.700012207031 127 "R" "." "Act" "Act_Thr_SciF" "A. Wachowski/L. Wachowski"
"53" 53 "The Twilight Saga: Breaking Dawn Part 1" 2011 281.299987792969 423.799987792969 705.099975585938 110 "PG-13" "." "Adv" "Adv_Dra_Fan_Rom" "B. Condon"
"54" 54 "Meet the Fockers" 2004 279.200012207031 234.300003051758 513.5 80 "PG-13" "." "Com" "Com" "J. Roach"
"55" 55 "The Hangover" 2009 277.299987792969 190 467.299987792969 35 "R" "." "Com" "Com" "T. Phillips"
"56" 56 "Shrek" 2001 267.700012207031 202 469.700012207031 60 "PG" "." "Adv" "Adv_Rom_Ani_Fan_Com" "A. Adamson/V. Jenson"
"57" 57 "Harry Potter and the Chamber of Secrets" 2002 262 604.400024414062 866.400024414062 100 "PG" "." "Fan" "Fan_Adv_Fam" "C. Columbus"
"58" 58 "The Amazing Spider-Man" 2012 262 490.200012207031 752.200012207031 230 "PG-13" "." "Act" "Act_Adv_Fan" "M. Webb"
"59" 59 "The Incredibles" 2004 261.399993896484 369.799987792969 631.200012207031 92 "PG" "." "Ani" "Ani_Fam_Adv_Act_Com" "B. Bird"
"60" 60 "Jaws" 1975 260 211 471 12 "PG" "nominated" "Adv" "Adv_Hor_Thr" "S. Spielberg"
"61" 61 "Dr. Seuss' How the Grinch Stole Christmas" 2000 260 80 340 123 "PG" "." "Fan" "Fan_Com" "R. Howard"
"62" 62 "Star Trek" 2009 257.700012207031 127.800003051758 385.5 150 "PG-13" "." "Act" "Act_Adv_SciF" "J.J. Abrams"
"63" 63 "I Am Legend" 2007 256.399993896484 327.5 583.900024414062 150 "PG-13" "." "Dra" "Dra_SciF_Thr" "F. Lawrence"
"64" 64 "Monsters, Inc. " 2001 255.899993896484 268.299987792969 524.200012207031 115 "G" "." "Ani" "Ani_Com_Fan" "P. Docter/D. Silverman"
"65" 65 "The Blind Side" 2009 255.899993896484 53.2999992370605 309.200012207031 29 "PG-13" "nominated" "Dra" "Dra_Spo" "J. L. Hancock"
"66" 66 "The Hangover Part II" 2011 254.5 327 581.5 80 "R" "." "Com" "Com" "T. Phillips"
"67" 67 "Despicable Me" 2010 251.5 293 544.5 69 "PG" "." "Ani" "Ani_Com_Fam" "P. Coffin/C. Renaud"
