"age" "race" "ethnicty" "educ" "sex" "livewith" "famtime" "crimtype" "everviol" "numarr" "probtn" "corrinst" "evertime" "prviol" "prprop" "prdrug" "prpub" "prjuv" "agefirst" "usewepn" "alcuse" "everdrug"
"1" 14 2 2 7 1 3 1 "1" 1 24 3 1 1 1 1 0 0 0 11 1 "1" "1"
"2" 13 2 2 7 1 3 1 "2" 1 3 1 1 1 1 0 0 0 0 12 1 "1" "1"
"3" 12 2 2 5 2 4 2 "1" 1 4 0 0 2 0 0 0 0 0 11 2 "2" "0"
"4" 15 2 2 8 1 3 2 "2" 0 6 2 3 1 0 0 1 0 0 13 2 "3" "0"
"5" 14 2 1 7 1 1 2 "3" 1 4 1 7 1 1 0 1 0 0 12 2 "2" "1"
"6" 14 1 2 9 1 3 2 "2" 0 20 3 3 1 0 1 0 0 1 11 2 "1" "1"
"7" 16 1 2 9 2 5 1 "2" 0 2 2 1 1 0 1 0 0 0 16 2 "1" "1"
"8" 17 2 2 9 1 1 2 "1" 1 2 1 0 2 1 0 0 1 1 15 9 "1" "0"
"9" 16 2 2 9 2 3 2 "2" 0 3 3 2 1 0 1 0 0 1 14 2 "2" "1"
"10" 14 2 9 8 1 1 1 "1" 1 5 1 1 1 1 1 0 0 0 11 2 "1" "1"
"11" 16 2 2 9 1 3 1 "2" 0 1 1 99 9 0 0 0 0 0 16 1 "1" "0"
"12" 16 2 2 10 1 1 1 "4" 0 3 0 0 2 0 0 0 0 0 15 1 "3" "1"
"13" 16 2 2 9 1 1 1 "2" 1 4 1 2 1 1 0 1 0 0 13 9 "3" "1"
"14" 18 2 2 11 1 1 2 "2" 1 3 1 4 1 1 0 0 0 0 11 2 "1" "1"
"15" 17 1 2 11 1 3 1 "4" 0 1 0 3 1 0 1 0 0 1 17 2 "1" "1"
"16" 17 1 2 11 1 1 2 "1" 1 10 2 1 1 1 1 1 0 0 16 2 "3" "1"
"17" 16 2 2 9 1 1 2 "2" 1 10 1 4 1 1 1 0 1 0 13 2 "3" "0"
"18" 17 1 2 10 1 3 1 "2" 0 8 1 4 1 0 1 1 0 1 13 2 "1" "1"
"19" 16 2 2 9 1 1 1 "2" 1 3 2 1 1 1 0 0 0 0 15 1 "3" "0"
"20" 13 2 2 7 1 3 2 "2" 0 1 1 1 1 0 1 1 1 1 13 2 "1" "1"
"21" 17 2 2 10 1 3 2 "2" 0 6 2 1 1 0 1 0 0 0 9 2 "3" "0"
"22" 16 1 2 11 2 4 2 "2" 0 99 2 1 1 0 1 0 0 1 15 2 "1" "1"
"23" 16 1 2 9 1 1 2 "1" 1 3 1 1 1 1 1 0 0 1 8 2 "1" "0"
"24" 17 2 2 9 1 3 1 "2" 0 15 1 0 2 0 1 0 1 0 12 2 "1" "0"
"25" 17 2 2 9 1 3 1 "3" 0 3 1 0 2 0 0 1 0 0 15 2 "3" "1"
"26" 17 2 2 7 1 1 2 "2" 0 2 1 0 2 0 0 0 0 0 15 2 "3" "0"
"27" 16 1 2 7 1 1 2 "1" 1 1 0 0 2 0 0 0 0 0 16 2 "1" "1"
"28" 18 2 2 10 1 1 2 "1" 1 26 2 1 1 0 1 0 0 0 15 1 "2" "1"
"29" 17 1 2 8 1 7 9 "1" 1 10 1 9 1 1 1 0 1 1 11 2 "1" "1"
"30" 18 2 1 12 1 3 2 "1" 1 8 3 6 1 1 1 1 0 0 9 2 "1" "1"
"31" 18 1 2 12 1 1 2 "2" 0 20 0 0 2 0 0 0 0 0 15 2 "1" "1"
"32" 18 2 2 9 1 1 2 "1" 1 2 0 0 2 0 0 0 1 0 15 1 "2" "0"
"33" 17 2 2 8 1 1 2 "2" 1 9 1 1 1 1 1 1 1 1 10 2 "1" "1"
"34" 17 2 2 10 1 1 2 "1" 1 3 1 0 2 0 0 0 0 0 16 2 "1" "1"
"35" 18 2 2 10 1 3 2 "2" 0 3 1 0 2 0 0 0 0 0 18 2 "2" "1"
"36" 15 2 2 6 2 4 9 "1" 1 6 2 5 1 1 1 1 0 1 10 2 "1" "1"
"37" 18 1 2 10 1 4 1 "3" 0 30 7 5 1 0 1 1 0 0 12 2 "1" "1"
"38" 18 2 2 9 1 4 1 "1" 1 13 3 0 2 1 1 1 1 0 10 2 "1" "1"
"39" 16 2 2 9 1 3 2 "2" 0 2 1 0 2 0 1 0 0 0 15 2 "3" "1"
"40" 17 1 2 9 1 3 2 "4" 1 2 1 1 1 1 1 0 0 1 16 2 "3" "0"
"41" 17 1 2 9 1 99 1 "2" 0 1 0 1 1 0 0 0 0 0 16 2 "1" "0"
"42" 17 2 2 11 1 5 2 "1" 1 14 1 3 1 0 1 1 0 0 11 2 "1" "1"
"43" 18 2 2 11 1 1 1 "2" 0 2 1 0 2 0 0 0 0 0 17 2 "1" "1"
"44" 16 1 2 9 1 3 1 "1" 1 15 1 5 1 1 1 0 1 1 11 1 "1" "1"
"45" 16 2 2 7 1 2 1 "2" 0 16 2 99 1 0 1 1 0 0 11 2 "3" "1"
"46" 14 1 2 7 1 1 2 "2" 0 5 2 3 1 0 1 0 1 1 9 2 "1" "1"
"47" 16 2 2 11 1 1 1 "2" 0 5 0 0 2 0 0 0 0 0 14 2 "3" "1"
"48" 15 2 2 9 1 1 2 "2" 0 3 2 1 1 0 1 0 0 0 14 2 "2" "1"
"49" 17 2 2 11 1 3 2 "3" 0 2 1 0 2 0 0 0 0 0 15 2 "2" "0"
"50" 17 1 2 9 1 3 1 "2" 0 2 2 0 2 0 1 0 0 0 15 2 "1" "1"
"51" 16 1 2 11 1 3 2 "1" 1 1 0 0 2 0 0 0 0 0 15 1 "1" "1"
"52" 15 2 2 9 1 1 1 "1" 1 4 0 6 1 0 1 1 0 1 13 1 "1" "1"
"53" 16 2 2 10 1 4 2 "1" 1 2 1 0 2 0 0 0 0 0 14 2 "3" "0"
"54" 14 2 2 7 1 3 2 "3" 0 2 0 99 1 0 0 0 0 0 14 2 "3" "1"
"55" 15 2 2 9 1 3 1 "2" 0 4 1 2 1 0 1 0 0 0 12 2 "1" "1"
"56" 15 2 1 9 1 3 2 "1" 1 6 2 1 1 0 0 0 0 0 13 2 "1" "1"
"57" 18 1 2 9 1 1 1 "2" 0 12 1 1 1 0 1 0 0 0 15 2 "1" "1"
"58" 15 1 2 9 1 3 2 "2" 0 3 0 0 2 0 0 0 0 0 14 2 "1" "0"
"59" 16 1 2 8 1 1 2 "2" 0 3 1 0 2 0 1 0 0 0 13 2 "2" "1"
"60" 16 1 2 10 1 2 2 "1" 1 2 1 1 1 1 0 0 0 1 15 2 "1" "1"
"61" 13 1 1 9 1 4 1 "1" 1 7 2 2 1 1 1 0 0 0 9 2 "1" "0"
"62" 17 1 2 11 1 3 2 "2" 0 1 1 0 2 0 1 0 0 0 17 1 "1" "1"
"63" 16 1 2 9 1 1 1 "1" 1 1 1 0 2 0 0 0 0 0 16 2 "1" "1"
"64" 17 1 2 11 1 3 2 "2" 0 1 1 1 1 0 1 0 0 0 16 2 "1" "1"
"65" 15 1 1 8 1 2 1 "1" 1 4 1 0 2 0 1 0 0 1 14 2 "1" "1"
"66" 17 1 2 11 1 1 1 "1" 1 3 1 1 1 0 1 1 0 0 13 2 "1" "1"
"67" 14 2 2 8 1 1 1 "1" 1 15 9 1 1 1 1 0 0 1 11 2 "1" "1"
"68" 14 2 2 7 1 1 1 "1" 1 1 0 0 2 0 0 0 0 0 14 2 "2" "0"
"69" 16 1 2 9 1 1 2 "5" 0 5 0 1 1 0 0 0 0 1 13 2 "2" "0"
"70" 14 1 2 6 1 1 1 "1" 1 2 1 0 2 0 1 0 0 0 7 2 "1" "1"
"71" 15 2 2 9 1 3 2 "1" 1 9 0 0 2 0 1 0 0 1 13 2 "2" "1"
