"state" "statefips" "county" "countycode" "acres1997" "acres2002" "acres2007" "farms1997" "farms2002" "farms2007" "large1997" "large2002" "large2007" "small1997" "small2002" "small2007"
"1" "ALABAMA" 1 "AUTAUGA" 1 112221 118468 110464 430 373 415 18 23 23 24 23 23
"2" "ALABAMA" 1 "BALDWIN" 3 185758 181337 189815 1218 1062 1139 25 29 33 148 109 143
"3" "ALABAMA" 1 "BARBOUR" 5 167003 190815 199129 485 531 623 31 36 33 11 19 28
"4" "ALABAMA" 1 "BIBB" 7 51507 44893 38093 214 187 211 8 5 7 12 6 21
"5" "ALABAMA" 1 "BLOUNT" 9 152215 143232 151282 1408 1248 1414 13 13 10 85 69 99
"6" "ALABAMA" 1 "BULLOCK" 11 180538 146248 133951 333 273 277 35 37 36 9 9 11
"7" "ALABAMA" 1 "BUTLER" 13 109767 83408 92581 534 425 490 19 11 7 22 17 21
"8" "ALABAMA" 1 "CALHOUN" 15 87017 74992 76201 775 673 735 5 4 5 73 44 82
"9" "ALABAMA" 1 "CHAMBERS" 17 100235 92810 104973 393 306 336 23 22 27 18 13 13
"10" "ALABAMA" 1 "CHEROKEE" 19 134396 121406 132918 594 546 654 24 23 26 15 16 36
"11" "ALABAMA" 1 "CHILTON" 21 110181 98294 100217 806 667 645 10 10 14 42 30 51
"12" "ALABAMA" 1 "CHOCTAW" 23 71067 55224 55016 291 244 264 10 10 9 29 10 18
"13" "ALABAMA" 1 "CLARKE" 25 68889 56962 73737 306 284 321 11 12 15 15 6 25
"14" "ALABAMA" 1 "CLAY" 27 80886 84459 74415 456 427 432 9 11 9 14 13 12
"15" "ALABAMA" 1 "CLEBURNE" 29 53994 44239 49493 385 326 380 3 3 5 15 17 12
"16" "ALABAMA" 1 "COFFEE" 31 194403 197493 211150 923 854 971 37 29 34 74 46 41
"17" "ALABAMA" 1 "COLBERT" 33 125603 131852 128905 688 584 736 23 25 30 39 19 57
"18" "ALABAMA" 1 "CONECUH" 35 102552 81825 86293 447 369 401 14 10 14 17 15 17
"19" "ALABAMA" 1 "COOSA" 37 46968 39422 45403 261 228 207 3 2 3 6 12 6
"20" "ALABAMA" 1 "COVINGTON" 39 196313 201795 200141 1064 1013 1096 30 26 29 30 32 40
"21" "ALABAMA" 1 "CRENSHAW" 41 136569 130332 132385 560 570 638 23 23 16 31 13 16
"22" "ALABAMA" 1 "CULLMAN" 43 219690 231400 229791 2484 2301 2465 9 12 13 149 124 150
"23" "ALABAMA" 1 "DALE" 45 140577 139364 138197 505 459 528 28 27 22 20 18 24
"24" "ALABAMA" 1 "DALLAS" 47 277423 235894 257015 549 490 555 76 66 82 33 30 40
"25" "ALABAMA" 1 "DE KALB" 49 235948 237336 235246 2419 2177 2426 13 19 14 143 122 132
"26" "ALABAMA" 1 "ELMORE" 51 139316 104316 102816 690 633 626 22 12 21 26 46 56
"27" "ALABAMA" 1 "ESCAMBIA" 53 99010 94494 112841 461 444 502 16 17 23 42 47 44
"28" "ALABAMA" 1 "ETOWAH" 55 106440 90109 94201 1118 974 1004 7 4 7 104 95 105
"29" "ALABAMA" 1 "FAYETTE" 57 71867 75144 78799 370 365 401 6 4 5 10 8 12
"30" "ALABAMA" 1 "FRANKLIN" 59 137424 145968 140861 963 929 958 9 12 9 39 30 32
"31" "ALABAMA" 1 "GENEVA" 61 221449 227324 220676 1020 998 1108 34 35 33 57 34 35
"32" "ALABAMA" 1 "GREENE" 63 147322 128032 135652 323 349 316 41 35 38 11 22 19
"33" "ALABAMA" 1 "HALE" 65 169810 160536 169287 497 433 479 34 39 38 11 8 18
"34" "ALABAMA" 1 "HENRY" 67 168108 150838 165699 404 346 478 49 39 38 20 6 9
"35" "ALABAMA" 1 "HOUSTON" 69 212670 188413 204645 816 700 841 53 49 45 59 31 52
"36" "ALABAMA" 1 "JACKSON" 71 240226 229435 242850 1544 1375 1523 38 37 36 62 43 106
"37" "ALABAMA" 1 "JEFFERSON" 73 50972 42018 40455 561 463 470 1 4 3 74 76 75
"38" "ALABAMA" 1 "LAMAR" 75 78447 86717 84645 478 463 422 6 8 8 34 31 22
"39" "ALABAMA" 1 "LAUDERDALE" 77 233333 208041 227692 1663 1485 1697 40 26 28 122 108 118
"40" "ALABAMA" 1 "LAWRENCE" 79 220430 234097 222401 1541 1597 1601 31 31 24 75 89 89
"41" "ALABAMA" 1 "LEE" 81 85588 74039 63188 434 336 356 14 16 12 29 21 38
"42" "ALABAMA" 1 "LIMESTONE" 83 270026 225843 237188 1359 1235 1352 53 40 48 92 81 124
"43" "ALABAMA" 1 "LOWNDES" 85 181496 196689 186823 397 420 405 51 49 44 16 24 22
"44" "ALABAMA" 1 "MACON" 87 144662 129034 116758 386 368 385 35 33 24 7 9 12
"45" "ALABAMA" 1 "MADISON" 89 236140 198301 199294 1230 1117 1187 58 43 44 92 118 154
"46" "ALABAMA" 1 "MARENGO" 91 212078 188892 178157 562 508 555 52 44 34 21 13 21
"47" "ALABAMA" 1 "MARION" 93 110912 119197 117206 815 756 787 5 13 7 30 25 20
"48" "ALABAMA" 1 "MARSHALL" 95 159803 160590 154548 1891 1686 1731 6 14 10 135 113 170
"49" "ALABAMA" 1 "MOBILE" 97 133419 100746 113653 947 740 876 24 19 23 178 134 158
"50" "ALABAMA" 1 "MONROE" 99 143659 119992 118805 518 443 505 27 21 29 22 23 43
"51" "ALABAMA" 1 "MONTGOMERY" 101 253357 212943 223079 789 703 620 64 53 56 45 42 39
"52" "ALABAMA" 1 "MORGAN" 103 168481 148942 161531 1442 1308 1457 14 12 11 107 111 136
"53" "ALABAMA" 1 "PERRY" 105 161930 165018 165773 421 376 390 38 39 49 7 8 15
"54" "ALABAMA" 1 "PICKENS" 107 138248 142561 130751 547 493 503 19 19 21 16 19 27
"55" "ALABAMA" 1 "PIKE" 109 181551 187294 179175 667 612 709 35 42 35 30 18 36
"56" "ALABAMA" 1 "RANDOLPH" 111 117981 109648 114717 708 610 610 15 12 15 23 14 19
"57" "ALABAMA" 1 "RUSSELL" 113 107588 105452 94155 307 245 303 24 26 22 22 20 18
"58" "ALABAMA" 1 "SAINT CLAIR" 115 82080 83007 71574 722 667 621 7 8 6 43 36 44
"59" "ALABAMA" 1 "SHELBY" 117 79062 64197 54810 551 486 474 8 6 2 31 42 39
"60" "ALABAMA" 1 "SUMTER" 119 192796 176878 180931 479 443 431 53 43 40 34 16 35
"61" "ALABAMA" 1 "TALLADEGA" 121 119610 109499 119042 625 584 625 17 15 18 29 20 46
"62" "ALABAMA" 1 "TALLAPOOSA" 123 91797 78082 64078 425 377 377 14 9 7 24 16 16
"63" "ALABAMA" 1 "TUSCALOOSA" 125 113441 102973 110588 631 547 613 16 18 23 41 32 61
"64" "ALABAMA" 1 "WALKER" 127 63169 75180 70382 583 543 629 6 10 5 39 58 75
"65" "ALABAMA" 1 "WASHINGTON" 129 101989 73942 83610 476 396 473 16 10 9 27 11 33
"66" "ALABAMA" 1 "WILCOX" 131 164547 160041 168849 307 306 368 40 45 41 8 19 33
"67" "ALABAMA" 1 "WINSTON" 133 63423 66425 64541 676 650 626 1 2 2 35 22 30
"68" "ALASKA" 2 "ALEUTIAN ISLANDS" 10 664907 706988 693611 36 36 35 11 17 18 3 2 5
"69" "ALASKA" 2 "ANCHORAGE" 20 40294 46910 38391 222 251 278 5 6 3 46 56 72
"70" "ALASKA" 2 "FAIRBANKS NORTH STAR" 90 118836 109990 110780 179 187 212 33 28 26 16 24 29
"71" "ALASKA" 2 "JUNEAU" 110 534 538 514 22 37 37 NA NA NA 12 22 23
"72" "ALASKA" 2 "KENAI PENINSULA" 122 56474 36289 38289 89 98 124 8 6 5 19 23 36
"73" "ARIZONA" 4 "APACHE" 1 NA NA NA 370 363 4243 70 44 46 51 70 3397
"74" "ARIZONA" 4 "COCHISE" 3 1331741 969253 824226 1105 950 1065 241 181 181 105 110 122
"75" "ARIZONA" 4 "COCONINO" 5 6220245 NA 6101943 286 213 1597 47 39 34 67 47 1397
"76" "ARIZONA" 4 "GILA" 7 NA NA 1166457 226 164 279 15 8 9 32 37 147
"77" "ARIZONA" 4 "GRAHAM" 9 1264911 NA 1345629 357 277 343 53 36 37 91 81 142
"78" "ARIZONA" 4 "GREENLEE" 11 33360 27376 35267 135 124 127 5 5 6 19 8 12
"79" "ARIZONA" 4 "LAPAZ" 12 296573 NA NA 122 101 99 36 35 36 14 17 14
"80" "ARIZONA" 4 "MARICOPA" 13 742287 627254 485469 2444 2110 1793 132 102 93 1244 1097 1027
"81" "ARIZONA" 4 "MOHAVE" 15 1023964 792992 858392 295 239 334 77 47 49 55 50 114
"82" "ARIZONA" 4 "NAVAJO" 17 3915165 4595062 4502752 402 291 2949 78 46 37 83 67 2558
"83" "ARIZONA" 4 "PIMA" 19 2927899 NA NA 647 517 622 77 41 53 292 195 273
"84" "ARIZONA" 4 "PINAL" 21 1321911 1161563 1047112 659 687 785 134 107 104 126 196 217
"85" "ARIZONA" 4 "SANTA CRUZ" 23 285550 132843 129581 225 152 193 45 21 20 15 17 29
"86" "ARIZONA" 4 "YAVAPAI" 25 797574 720362 639042 654 575 756 82 59 66 159 177 272
"87" "ARIZONA" 4 "YUMA" 27 252691 231125 210480 580 531 452 75 67 53 131 162 152
"88" "ARKANSAS" 5 "ARKANSAS" 1 432816 389894 405103 550 502 539 170 153 152 8 6 14
"89" "ARKANSAS" 5 "ASHLEY" 3 177387 166907 154180 335 336 436 63 52 52 17 15 42
"90" "ARKANSAS" 5 "BAXTER" 5 112029 103255 97150 559 572 668 13 10 9 22 30 50
"91" "ARKANSAS" 5 "BENTON" 7 305353 312646 254608 2558 2376 2151 22 30 21 173 174 169
"92" "ARKANSAS" 5 "BOONE" 9 269920 283879 242042 1387 1305 1266 34 45 31 61 43 68
"93" "ARKANSAS" 5 "BRADLEY" 11 30816 29376 25235 275 222 219 1 2 1 15 12 6
