"Region" "CountryName" "CountryCode" "BirthRate" "DeathRate" "InfantDeaths" "FertilityRate" "GNI" "LifeExpectancyFemales" "LifeExpectancyMales"
"1" "South Asia" "Afghanistan" "AFG" 43.6469993591309 15.9289999008179 74.5 6.28800010681152 410 48.4420013427734 48.1300010681152
"2" "Europe & Central Asia" "Albania" "ALB" 12.7639999389648 6.14699983596802 13.3999996185303 1.53600001335144 3970 80.0950012207031 73.859001159668
"3" "Middle East & North Africa" "Algeria" "DZA" 20.1539993286133 4.86199998855591 26.8999996185303 2.26399993896484 4390 74.3840026855469 71.3939971923828
"4" "Sub-Saharan Africa" "Angola" "AGO" 41.5509986877441 14.3620004653931 98.1999969482422 5.44299983978271 3960 52.1380004882812 49.2400016784668
"5" "Latin America & Caribbean" "Argentina" "ARG" 17.1539993286133 7.70800018310547 13 2.21099996566772 8620 79.4899978637695 71.9580001831055
"6" "Europe & Central Asia" "Armenia" "ARM" 15.2910003662109 8.89200019836426 16.3999996185303 1.73599994182587 3200 77.0780029296875 70.6460037231445
"7" "East Asia & Pacific" "Australia" "AUS" 12.9821796417236 6.43055105209351 4.19999980926514 1.91999995708466 46200 84 79.5
"8" "Europe & Central Asia" "Austria" "AUT" 9.39999961853027 9.19999980926514 3.5 1.44000005722046 46920 83.1999969482422 77.6999969482422
"9" "Europe & Central Asia" "Azerbaijan" "AZE" 18.5 6 39.7999992370605 2.29999995231628 5380 73.5299987792969 67.6269989013672
"10" "Latin America & Caribbean" "Bahamas, The" "BHS" 15.4589996337891 5.40799999237061 14.1000003814697 1.89600002765656 21970 78.4089965820312 72.1869964599609
"11" "Middle East & North Africa" "Bahrain" "BHR" 19.5319995880127 2.72300004959106 8.69999980926514 2.53999996185303 15920 75.7030029296875 74.3769989013672
"12" "South Asia" "Bangladesh" "BGD" 20.3479995727539 6.07999992370605 38.5999984741211 2.24499988555908 700 69.2939987182617 68.0070037841797
"13" "Europe & Central Asia" "Belarus" "BLR" 11.3999996185303 14.5 4.30000019073486 1.44000005722046 5990 76.5 64.5999984741211
"14" "Europe & Central Asia" "Belgium" "BEL" 11.6999998092651 9.60000038146973 3.59999990463257 1.8400000333786 45780 82.5999984741211 77.4000015258789
"15" "Latin America & Caribbean" "Belize" "BLZ" 24.5020008087158 3.79800009727478 15.1000003814697 2.78999996185303 3640 77.3119964599609 74.4380035400391
"16" "Sub-Saharan Africa" "Benin" "BEN" 39.5709991455078 11.7779998779297 69.5 5.28700017929077 780 57.4930000305176 53.7690010070801
"17" "South Asia" "Bhutan" "BTN" 20.4419994354248 6.92899990081787 43.5999984741211 2.3989999294281 1870 68.8679962158203 65.0429992675781
"18" "Latin America & Caribbean" "Bolivia" "BOL" 26.4570007324219 7.26999998092651 40.9000015258789 3.34800004959106 1810 68.5550003051758 64.0910034179688
"19" "Europe & Central Asia" "Bosnia and Herzegovina" "BIH" 8.52999973297119 9.91899967193604 6.90000009536743 1.14800000190735 4740 78.0490036010742 72.8779983520508
"20" "Sub-Saharan Africa" "Botswana" "BWA" 23.5610008239746 13.0550003051758 21.2999992370605 2.75 6750 52.1640014648438 54.0099983215332
"21" "Latin America & Caribbean" "Brazil" "BRA" 15.4860000610352 6.3769998550415 15 1.83000004291534 9540 76.6890029907227 69.6809997558594
"22" "Europe & Central Asia" "Bulgaria" "BGR" 10 14.6000003814697 11 1.49000000953674 6320 77.1999969482422 70
"23" "Sub-Saharan Africa" "Burkina Faso" "BFA" 43.1990013122559 11.8900003433228 82.4000015258789 5.84999990463257 550 55.9449996948242 53.9519996643066
