"year" "gdp" "gdp_growth_rate" "govt_lending_rate" "interest_rate" "saving_rate" "unemployment_rate" "wage_rate"
"1" 1990 5754.7998046875 1.85609209537506 -4.34486532211304 8.55000019073486 6.72875833511353 5.59999990463257 4.99347305297852
"2" 1991 5943.2001953125 -0.261221200227737 -5.02912187576294 7.85833311080933 7.29292821884155 6.80000019073486 4.66725206375122
"3" 1992 6291.5 3.40476965904236 -5.88272380828857 7.01000022888184 7.27260780334473 7.5 4.72454404830933
"4" 1993 6614.2998046875 2.87255549430847 -5.07549858093262 5.87333297729492 6.11048269271851 6.90000009536743 3.52508091926575
"5" 1994 7030.5 4.11453485488892 -3.70210933685303 7.07999992370605 5.72125959396362 6.09999990463257 2.94888591766357
"6" 1995 7359.2998046875 2.54897284507751 -3.29854846000671 6.57999992370605 5.72033500671387 5.59999990463257 3.31441593170166
"7" 1996 7783.89990234375 3.78607296943665 -2.29094314575195 6.4383339881897 5.12377643585205 5.40000009536743 3.17222595214844
"8" 1997 8278.900390625 4.50573635101318 -0.885104417800903 6.35249996185303 4.74513101577759 5 3.82936906814575
"9" 1998 8741 4.40142297744751 0.306761562824249 5.26416683197021 5.44469833374023 4.5 5.87027502059937
"10" 1999 9301 4.86890268325806 0.689314186573029 5.63666677474976 3.24755549430847 4.19999980926514 4.71329212188721
"11" 2000 9898.7998046875 4.17324066162109 1.4726459980011 6.02916717529297 3.02548456192017 4 5.35054492950439
"12" 2001 10233.900390625 1.09337615966797 -0.631916165351868 5.01749992370605 2.78635239601135 4.69999980926514 3.17916893959045
"13" 2002 10590.2001953125 1.82799792289734 -3.96977162361145 4.61083316802979 3.65477752685547 5.80000019073486 2.39837098121643
"14" 2003 11089.2998046875 2.55260610580444 -4.96581697463989 4.0149998664856 3.75645899772644 6 3.68655109405518
"15" 2004 11797.7998046875 3.47977423667908 -4.43681383132935 4.27416706085205 3.53635501861572 5.5 3.79097390174866
"16" 2005 12564.2998046875 3.07562303543091 -3.25852799415588 4.28999996185303 1.65445280075073 5.09999990463257 3.66419005393982
"17" 2006 13314.5 2.6591215133667 -2.1768536567688 4.79166698455811 2.69800925254822 4.59999990463257 3.83531594276428
"18" 2007 13961.7998046875 1.90721333026886 -2.9025444984436 4.62916707992554 2.4214403629303 4.59999990463257 3.70795202255249
"19" 2008 14219.2998046875 -0.359088271856308 -6.34992170333862 3.66666698455811 5.52862215042114 5.80000019073486 2.96937489509583
"20" 2009 13863.599609375 -3.5274715423584 -11.2822742462158 3.25666689872742 5.348388671875 9.30000019073486 0.555646121501923
"21" 2010 14447.099609375 3.0217170715332 -10.634259223938 3.21416711807251 5.46949243545532 9.60000038146973 2.61695909500122
